port,service,severity
11,,
13,,
15,,
17,,
20,,
21,ftp,high
22,ssh,
23,Telnet,critical
24,,
25,smtp,high
26,,
37,,
43,,
49,,
53,dns,
70,,
79,,
80,http,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
95,,
96,,
97,,
98,,
99,,
100,,
102,,
104,,
106,,
110,POP3,high
111,ONC RPC,
113,,
119,,
123,ntp,
131,,
135,MS WINS-RPC,
137,,high
139,,high
143,IMAP,
161,snmp,
175,,
179,BGP,
180,,
195,,
199,,
221,,
222,,
264,,
340,,
389,,
427,,
443,https,
444,,
445,MS SMB,
447,,
448,,
465,smtps,
500,ISAKMP,
502,,
503,,
515,,
541,,
548,,
554,rtsp,
555,,
587,smtp,
593,,
631,,
636,,
646,,
666,,
685,,
771,,
777,,
789,,
800,,
801,,
805,,
806,,
808,,
830,,
843,,
873,,
880,,
888,,
902,,
990,,
992,,
993,imap,
995,POP3S,
999,,
1000,,
1012,,
1022,,
1024,,
1025,,
1026,,
1027,,
1028,,
1029,,
1050,,
1063,,
1080,,
1099,,
1110,,
1111,,
1119,,
1153,,
1167,,
1194,,
1200,,
1234,,
1290,,
1311,,
1337,,
1344,,
1400,,
1433,SQL Server,critical
1434,SQL Server Browser,high
1471,,
1500,,
1515,,
1521,,
1554,,
1588,,
1599,,
1604,,
1701,,
1723,pptp,
1741,,
1800,,
1801,,
1883,,
1900,,
1911,,
1919,,
1925,,
1935,,
1947,,
1950,,
1962,,
2000,various,
2001,,
2003,,
2006,,
2008,,
2010,,
2012,,
2018,,
2020,,
2021,,
2022,,
2030,,
2048,,
2049,,
2050,,
2051,,
2052,various,
2053,various,
2054,,
2059,,
2067,,
2070,,
2077,,
2079,,
2080,,
2081,,
2082,cPanel,
2083,cPanel,
2086,cPanel Webhost Manager,
2087,cPanel Webhost Manager,
2095,cPanel Webmail,
2096,cPanel Webmail,
2100,,
2111,,
2121,,
2122,,
2126,,
2150,,
2154,,
2181,,
2200,,
2201,,
2202,,
2211,,
2220,,
2221,,
2222,,
2223,,
2225,,
2232,,
2233,,
2259,,
2266,,
2320,,
2345,,
2375,,
2379,,
2404,,
2443,,
2455,,
2480,,
2525,,
2554,,
2555,,
2556,,
2601,zebra,
2602,,
2650,,
2701,,
2761,,
2762,,
3000,,
3001,,
3002,,
3005,,
3050,,
3062,,
3080,,
3100,,
3111,,
3120,,
3128,squid proxy,
3129,,
3200,,
3221,,
3260,,
3268,,
3269,,
3299,,
3301,,
3306,mysql,high
3307,,
3310,,
3333,,
3352,,
3388,,
3389,rdp,critical
3443,,
3460,,
3503,,
3521,,
3522,,
3523,,
3524,,
3541,,
3542,,
3548,,
3549,,
3550,,
3551,,
3552,,
3554,,
3555,,
3556,,
3557,,
3558,,
3559,,
3560,,
3561,,
3562,,
3563,,
3566,,
3567,,
3568,,
3569,,
3570,,
3689,,
3690,,
3749,,
3790,,
3791,,
3792,,
3794,,
3838,,
3910,,
3922,,
3950,,
3951,,
3952,,
3953,,
3954,,
4000,,
4001,,
4002,,
4010,,
4022,,
4040,,
4063,,
4064,,
4100,,
4117,,
4118,,
4157,,
4190,,
4200,,
4242,,
4282,,
4321,,
4369,,
4430,,
4433,,
4443,,
4444,,
4445,,
4500,,
4506,,
4524,,
4545,,
4550,,
4567,router,
4643,,
4664,,
4700,,
4782,,
4786,,
4840,,
4848,,
4899,,
4911,,
4949,,
5000,,
5001,,
5002,,
5003,,
5004,,
5005,,
5006,,
5007,,
5009,,
5010,,
5025,,
5050,,
5060,sip,
5080,,
5090,,
5150,,
5201,,
5222,,
5269,,
5280,,
5357,,
5400,,
5431,,
5432,Postgres,high
5435,,
5443,,
5446,,
5500,,
5555,,
5560,,
5567,,
5568,,
5569,,
5595,,
5600,,
5601,,
5672,,
5800,,
5801,,
5858,,
5900,VNC,critical
5901,,
5906,,
5907,,
5910,,
5938,,
5984,,
5985,,
5986,,
6000,,
6001,,
6002,,
6003,,
6004,,
6005,,
6006,,
6007,,
6008,,
6009,,
6010,,
6036,,
6080,,
6102,,
6161,,
6262,,
6264,,
6308,,
6352,,
6363,,
6379,,
6443,,
6464,,
6503,,
6510,,
6511,,
6512,,
6543,,
6550,,
6565,,
6580,,
6581,,
6588,,
6590,,
6600,,
6601,,
6602,,
6603,,
6605,,
6622,,
6633,,
6653,,
6662,,
6664,,
6666,,
6667,,
6668,,
6697,,
6748,,
6789,,
6881,,
6887,,
6998,,
7000,,
7001,,
7002,,
7003,,
7004,,
7005,,
7010,,
7014,,
7070,,
7080,,
7081,,
7090,,
7170,,
7171,,
7401,,
7415,,
7443,,
7444,,
7445,,
7465,,
7474,,
7500,,
7510,,
7535,,
7547,router,
7634,,
7654,,
7657,,
7676,,
7700,,
7776,,
7777,,
7778,,
7779,,
7788,,
7887,,
7979,,
7989,,
7998,,
7999,,
8000,various,
8001,,
8002,,
8003,,
8004,,
8005,,
8006,,
8007,,
8008,various,
8009,,
8010,,
8011,,
8012,,
8013,,
8014,,
8015,,
8016,,
8017,,
